english,phonetic
abiding,əˈbaɪdɪŋ
abidingly,əˈbaɪdɪŋli
abidingness,əˈbaɪdɪŋnəs
Abie,ˈæbi
Abies,ˈæbiz
Abigail,ˈæbəˌgeɪl
abigail,ˈæbəˌgeɪl
abigailship,ˈæbəˌgeɪlʃɪp
ability,əˈbɪləti
Abitibi,ˌæbɪˈtibi
abject,ˈæbʤɛkt
abjectedness,ˈæbʤɛktɪdnəs
abjectly,ˈæbʤɛktli
abjectness,ˈæbʤɛktnəs
ablaze,əˈbleɪz
able,ˈeɪbəl
ableness,ˈeɪbəlnəs
abler,ˈeɪbələr
ablest,ˈeɪbəlst
abloom,əˈblum
ably,ˈeɪbli
Abner,ˈæbnər
abnormal,æbˈnɔrməl
abnormalism,æbˈnɔrməlɪz(ə)m
abnormalist,æbˈnɔrməlɪst
abnormality,ˌæbnɔrˈmæləti
abnormally,æbˈnɔrməli
abnormalness,æbˈnɔrməlnəs
Abo,ˈɑboʊ
aboard,əˈbɔrd
abode,əˈboʊd
abodement,əˈboʊdmənt
abolish,əˈbɑlɪʃ
abolisher,əˈbɑlɪʃər
abolishment,əˈbɑlɪʃmənt
abolition,ˌæbəˈlɪʃən
abolitionism,ˌæbəˈlɪʃəˌnɪzəm
abolitionist,ˌæbəˈlɪʃənəst
abominable,əˈbɑmənəbəl
abominableness,əˈbɑmənəbəlnəs
abominably,əˈbɑmənəbəli
abomination,əˌbɑməˈneɪʃən
aboriginal,ˌæbəˈrɪʤənəl
aboriginally,ˌæbəˈrɪʤənəli
aborigine,ˌæbəˈrɪʤəni
abort,əˈbɔrt
aborted,əˈbɔrtɪd
abortifacient,əˌbɔrtəˈfeɪʃənt
abortion,əˈbɔrʃən
abortional,əˈbɔrʃən(ə)l
abortionist,əˈbɔrʃənɪst
abortive,əˈbɔrtɪv
abortively,əˈbɔrtɪvli
abortiveness,əˈbɔrtɪvnəs
abound,əˈbaʊnd
abounder,əˈbaʊndər
abounding,əˈbaʊndɪŋ
aboundingly,əˈbaʊndɪŋli
about,əˈbaʊt
abouts,əˈbaʊts
above,əˈbʌv
aboveboard,əˈbʌvˌbɔrd
abracadabra,ˌæbrəkəˈdæbrə
Abraham,ˈeɪbrəˌhæm
Abram,əˈbræm
abrasion,əˈbreɪʒən
abrasive,əˈbreɪsɪv
abraxas,əˈbræksəz
abreast,əˈbrɛst
abridge,əˈbrɪʤ
abridgeable,əˈbrɪʤəbl
abridged,əˈbrɪʤd
abridgedly,əˈbrɪʤdli
abridger,əˈbrɪʤər
abridgment,əˈbrɪʤmənt
abroad,əˈbrɔd
abrogate,ˈæbrəˌgeɪt
abrogation,ˌæbrəˈgeɪʃən
abrogator,ˈæbrəˌgeɪtər
abrupt,əˈbrʌpt
abruptedly,əˈbrʌptɪdli
abruptly,əˈbrʌptli
abruptness,əˈbrʌptnəs
Absalom,ˈæbsələm
abscess,ˈæbˌsɛs
abscessed,ˈæbˌsɛst
abscond,æbˈskɑnd
absconded,æbˈskɑndəd
abscondedly,æbˈskɑndədli
absconder,æbˈskɑndər
absence,ˈæbsəns
absent,ˈæbsənt
absentee,ˌæbsənˈti
absenteeism,ˌæbsənˈtiɪzəm
absenteeship,ˌæbsənˈtɪʃɪp
absenter,ˈæbsəntər
absently,ˈæbsəntli
absentment,ˈæbsəntmənt
absentness,ˈæbsəntnəs
absinthe,ˈæbsɪnθ
absinthism,ˈæbsɪnθɪz(ə)m
absolute,ˈæbsəˌlut
absolutely,ˌæbsəˈlutli
absoluteness,ˈæbsəˌlutnəs
absolution,ˌæbsəˈluʃən
absolutism,ˈæbsəˌluˌtɪzəm
absolutist,æbsɪˈlutɪst
absolvable,əbˈzɑlvəbl
absolve,əbˈzɑlv
absolver,əbˈzɑlvər
absorb,əbˈzɔrb
absorbability,əbˌzɔrbəˈbɪlɪti
absorbable,əbˈzɔrbəbl
absorbed,əbˈzɔrbd
absorbedly,əbˈzɔrbdli
absorbedness,əbˈzɔrbdnəs
absorbency,əbˈzɔrbənsi
absorbent,əbˈzɔrbənt
absorber,əbˈzɔrbər
absorbing,əbˈzɔrbɪŋ
absorbingly,əbˈzɔrbɪŋli
absorption,əbˈzɔrpʃən
abstain,əbˈsteɪn
abstainer,əbˈsteɪnər
abstainment,əbˈsteɪnmənt
abstention,əbˈstɛnʧən
abstentionist,əbˈstɛnʧənɪst
abstinence,ˈæbstənəns
abstinent,ˈæbstənənt
abstinently,ˈæbstənəntli
abstract,ˈæbstrækt
abstracted,ˈæbˌstræktɪd
abstractedly,ˈæbˌstræktɪdli
abstractedness,ˈæbˌstræktɪdnəs
abstracter,ˈæbstræktər
abstraction,æbˈstrækʃən
abstractional,æbˈstrækʃən(ə)l
abstractionism,æbˈstrækʃənɪz(ə)m
abstractionist,æbˈstrækʃənɪst
abstractly,ˈæbstræktli
abstractness,ˈæbstræktnəs
abstractor,æbˈstræktər
abstruse,əbˈstrus
abstrusely,əbˈstrusli
abstruseness,əbˈstrusnəs
absurd,əbˈsɜrd
absurdity,əbˈsɜrdəti
absurdly,əbˈsɜrdli
absurdness,əbˈsɜrdnəs
Abu,ˈæbu
abu,ˈæbu
abundance,əˈbʌndəns
abundant,əˈbʌndənt
abundantly,əˈbʌndəntli
abusable,əˈbjuzəbl
abuse,əˈbjus
abusedly,əˈbjuzdli
abuseful,əˈbjusf(ə)l
abusefully,əˈbjusf(ə)li
abusefulness,əˈbjusf(ə)lnəs
abuser,əˈbjuzər
abusive,əˈbjusɪv
abusively,əˈbjusɪvli
abusiveness,əˈbjusɪvnəs
abut,əˈbʌt
abutment,əˈbʌtmənt
abutter,əˈbʌtər
abutting,əˈbʌtɪŋ
abuzz,əˈbʌz
abysmal,əˈbɪzməl
abysmally,əˈbɪzməli
abyss,əˈbɪs
Abyssinian,æbˈsɪˌniən
Acacia,əˈkeɪʃə
academe,ˈækəˌdim
Academic,ˌækəˈdɛmɪk
academic,ˌækəˈdɛmɪk
academically,ˌækəˈdɛmɪkli
academician,ˌækədəˈmɪʃən
academicism,ˌækəˈdɛmɪkɪz(ə)m
academism,ˈækəˌdimɪz(ə)m
academist,ˈækəˌdimɪst
academy,əˈkædəmi
Acadia,əˈkeɪdiə
acampsia,əˈkæmpsjə
acantha,ɑˈkɑnðə
acapulco,ˌækəˈpʊlkoʊ
accede,ækˈsid
acceder,ækˈsidər
accelerant,ækˈsɛlərənt
accelerate,ækˈsɛləˌreɪt
accelerated,ækˈsɛləˌreɪtɪd
acceleratedly,ækˈsɛləˌreɪtɪdli
acceleration,ˌækˌsɛləˈreɪʃən
accelerator,ækˈsɛləˌreɪtər
accelerometer,ækˌsɛləˈrɑmətər
accent,ˈæksɛnt
accentless,ˈæksɛntləs
accentor,əkˈsɛntər
accentuate,ækˈsɛnʧueɪt
accentuator,ækˈsɛnʧueɪtər
accept,ækˈsɛpt
acceptability,əkˌsɛptəˈbɪləti
acceptable,ækˈsɛptəbəl
acceptableness,ækˈsɛptəbəlnəs
acceptably,ækˈsɛptəbli
acceptance,ækˈsɛptəns
accepted,ækˈsɛptɪd
acceptedly,ækˈsɛptɪdli
accepter,ækˈsɛptər
acceptor,ækˈsɛptər
access,ˈækˌsɛs
accessibility,ˌæksɛsəˈbɪlɪti
accessible,ækˈsɛsəbəl
accessibly,ækˈsɛsəbəli
accession,əkˈsɛʃən
accessioner,əkˈsɛʃənər
accessless,ˈækˌsɛsləs
accessorily,ækˈsɛsərɪli
accessoriness,ækˈsɛsərɪnəs
accessory,ækˈsɛsəri
accident,ˈæksədənt
accidental,ˌæksəˈdɛntəl
accidentalism,ˌæksəˈdɛntəlɪz(ə)m
accidentalist,ˌæksəˈdɛntəlɪst
accidentally,ˌæksəˈdɛntəli
accidentalness,ˌæksəˈdɛntəlnəs
accidented,ˈæksədəntɪd
accidently,ˈæksədəntli
acclaim,əˈkleɪm
acclaimable,əˈkleɪməbl
acclaimer,əˈkleɪmər
acclamation,ˌækləˈmeɪʃən
acclimatable,ˈækləˌmeɪtəbl
acclimate,ˈækləˌmeɪt
acclimatement,ˈækləˌmeɪtmənt
acclimation,ˌækləˈmeɪʃən
accolade,ˈækəˌleɪd
accoladed,ˈækəˌleɪdɪd
accommodate,əˈkɑməˌdeɪt
accommodately,əˈkɑməˌdeɪtli
accommodateness,əˈkɑməˌdeɪtnəs
accommodating,əˈkɑməˌdeɪtɪŋ
accommodatingly,əˈkɑməˌdeɪtɪŋli
accommodation,əˌkɑməˈdeɪʃən
accommodational,əˌkɑməˈdeɪʃən(ə)l
accommodative,əˈkɑməˌdeɪtɪv
accommodativeness,əˈkɑməˌdeɪtɪvnəs
accommodator,əˈkɑməˌdeɪtər
accompanier,əˈkʌmpənɪər
accompaniment,əˈkʌmpnɪmənt
accompanist,əˈkʌmpənəst
accompany,əˈkʌmpəni
accompanyist,əˈkʌmpənɪɪst
accomplice,əˈkɑmpləs
accompliceship,əˈkɑmpləsʃɪp
accomplish,əˈkɑmplɪʃ
accomplishable,əˈkɑmplɪʃəbl
accomplished,əˈkɑmplɪʃt
accomplisher,əˈkɑmplɪʃər
accomplishment,əˈkɑmplɪʃmənt
accord,əˈkɔrd
accordable,əˈkɔrdəbl
accordance,əˈkɔrdəns
accorder,əˈkɔrdər
according,əˈkɔrdɪŋ
accordingly,əˈkɔrdɪŋli
accordion,əˈkɔrdiən
accordionist,əˈkɔrdiənɪst
accost,əˈkɔst
accostable,əˈkɔstəbl
accosted,əˈkɑstəd
account,əˈkaʊnt
accountability,əˈkaʊntəbɪlɪti
accountable,əˈkaʊntəbəl
accountableness,əˈkaʊntəbəlnəs
accountably,əˈkaʊntəbəli
accountancy,əˈkaʊntənsi
accountant,əˈkaʊntənt
accountantship,əˈkaʊntəntʃɪp
accounting,əˈkaʊntɪŋ
accountment,əˈkaʊntmənt
accouterment,əˈkutɜrmənt
accredit,əˌkrɛdət
accreditation,əˌkrɛdəˈteɪʃən
accredited,əˈkrɛdɪtɪd
accreditment,ˈəˌkrɛdətmənt
accretion,əˈkriʃən
accrual,əˈkruəl
accrue,əˈkru
accruement,əˈkrumənt
accruer,əˈkruər
accumulate,əˈkjumjəˌleɪt
accumulation,əˌkjumjəˈleɪʃən
accumulative,əˈkjumjəˌleɪtɪv
accumulatively,əˈkjumjəˌleɪtɪvli
accumulativeness,əˈkjumjəˌleɪtɪvnəs
accumulator,əˈkjumjəˌleɪtər
accuracy,ˈækjərəsi
accurate,ˈækjərət
accurately,ˈækjərətli
accurateness,ˈækjərətnəs
accusable,əˈkjuzəbl
accusation,ˌækjəˈzeɪʃən
accusative,əˈkjuzətɪv
accusatively,əˈkjuzətɪvli
accusatory,əˈkjuzəˌtɔri
accuse,əˈkjuz
accused,əˈkjuzd
accuser,əˈkjuzər
accusingly,əˈkjuzɪŋli
accustom,əˈkʌstəm
accustomed,əˈkʌstəmd
accustomedly,əˈkʌstəmdli
accustomedness,əˈkʌstəmdnəs
ace,eɪs
Acer,ˈeɪsər
acerbate,əˈsɜrbɪt
acerbic,əˈsɛrbɪk
acerra,əˈsɛrə
aceship,ˈeɪsʃɪp
acetate,ˈæsəˌteɪt
acetated,ˈæsəˌteɪtɪd
acetic,əˈsɛtɪk
acetone,ˈæsəˌtoʊn
acetylcholine,əˌsɛtəlˈkoʊlin
acetylene,əˈsɛtəˌlin
Achaean,əˈʧiən
ache,eɪk
acher,ˈeɪkər
achievable,əˈʧivəbəl
achieve,əˈʧiv
achievement,əˈʧivmənt
achiever,əˈʧivər
aching,ˈeɪkɪŋ
achingly,ˈeɪkɪŋli
achor,ˈeɪkər
achy,ˈeɪki
acid,ˈæsəd
acider,ˈæsədər
acidic,əˈsɪdɪk
acidifiable,əˈsɪdəˌfaɪəbl
acidification,əˌsɪdəfəˈkeɪʃən
acidifier,əˈsɪdəˌfaɪər
acidify,əˈsɪdəˌfaɪ
acidity,əˈsɪdəti
acidly,ˈæsədli
acidness,ˈæsədnəs
acidosis,ˌæsəˈdoʊsəs
acker,ˈækər
ackman,ˈækmən
acknowledge,ækˈnɑlɪʤ
acknowledgeable,ækˈnɑlɪʤəbəl
acknowledged,ækˈnɑlɪʤd
acknowledgedly,ækˈnɑlɪʤdli
acknowledger,ækˈnɑlɪʤər
acme,ˈækmi
acne,ˈækni
acolyte,ˈækəˌlaɪt
acor,ˈeɪsər
acorn,ˈeɪkɔrn
acorned,ˈeɪkɔrnd
acoustic,əˈkustɪk
acoustical,əˈkustɪkəl
acoustically,əˈkustɪkli
acoustics,əˈkustɪks
acquaint,əˈkweɪnt
acquaintance,əˈkweɪntəns
acquaintanceship,əˈkweɪntənsʃɪp
acquainted,əˈkweɪntɪd
acquaintedness,əˈkweɪntɪdnəs
acquiesce,ˌækwiˈɛs
acquiescement,ˌækwiˈɛsmənt
acquiescence,ˌækwiˈɛsəns
acquiescer,ˌækwiˈɛsər
acquiescingly,ˌækwiˈɛsɪŋli
acquirability,əˌkwaɪərəˈbɪlɪti
acquirable,əˈkwaɪərəbl
acquire,əˈkwaɪər
acquired,əˈkwaɪɜrd
acquirement,əˈkwaɪərmənt
acquirer,əˈkwaɪərər
acquisition,ˌækwəˈzɪʃən
acquisitive,əˈkwɪzətɪv
acquisitively,əˈkwɪzətɪvli
acquisitiveness,əˈkwɪzətɪvnəs
acquit,əˈkwɪt
acquitment,əˈkwɪtmənt
acquittal,əˈkwɪtəl
acquitter,əˈkwɪtər
acre,ˈeɪkər
acreable,əˈkrɪəbl
acreage,ˈeɪkərɪʤ
acred,ˈeɪkərd
acrid,ˈækrɪd
acridly,ˈækrɪdli
acridness,ˈækrɪdnəs
acrimonious,ˌækrəˈmoʊniəs
acrimoniously,ˌækrəˈmoʊniəsli
acrimoniousness,ˌækrəˈmoʊniəsnəs
acrimony,ˈækrɪˌmoʊni
acrobat,ˈækrəˌbæt
Acrobates,ˈækrəˌbæts
acrobatic,ˌækrəˈbætɪk
acrobatically,ˌækrəˈbætɪk(ə)li
acrobatics,ˌækrəˈbætɪks
acrobatism,ˈækrəˌbætɪz(ə)m
acrolein,ˈækroʊˌlin
acronym,ˈækrənɪm
acropolis,əˈkrɑpələs
across,əˈkrɔs
acrylic,əˈkrɪlɪk
act,ækt
actability,æktəˈbɪlɪti
actable,ˈæktəbl
actin,ˈæktən
acting,ˈæktɪŋ
Actinidia,ˌæktɪˈnɪdiə
actinism,ˈæktənɪz(ə)m
actinomycosis,ækˈtɪnoʊˈmaɪˈkoʊsɪs
action,ˈækʃən
actionable,ˈækʃənəbəl
actionably,ˈækʃənəbəli
actional,ˈækʃən(ə)l
actioner,ˈækʃənər
actionless,ˈækʃənləs
activable,ˈæktɪvəbl
activate,ˈæktəˌveɪt
activation,ˌæktəˈveɪʃən
activator,ˈæktəˌveɪtər
active,ˈæktɪv
actively,ˈæktɪvli
activeness,ˈæktɪvnəs
activism,ˈæktɪˌvɪzəm
activist,ˈæktəvəst
activity,ækˈtɪvəti
actless,ˈæktləs
acton,ˈæktən
actor,ˈæktər
actorship,ˈæktərʃɪp
actress,ˈæktrəs
Acts,ækts
actual,ˈækʧuəl
actualism,ˈækʧuəlɪz(ə)m
actualist,ˈækʧuəlɪst
actuality,ˌækʧuˈæləˌti
actualize,ˈækˌʧuəˌlaɪz
actually,ˈækʧuəli
actualness,ˈækʧuəlnəs
actuarial,ˌækˌʧuˈɛriəl
actuarially,ˌækˌʧuˈɛriəli
actuary,ˈækʧuˈɛˌri
actuaryship,ˈækʧuˈɛˌrɪʃɪp
actuator,ˈæktjuˌeɪtər
acuity,əˈkjuəti
acumen,əˈkjumən
acuminate,əˈkjumənɪt
acupuncture,ˈækjuˌpʌŋkʧər
acute,əˈkjut
acutely,əˈkjutli
acuteness,əˈkjutnəs
acutish,əˈkjutɪʃ
ad,æd
Ada,ˈeɪdə
adage,ˈædəʤ
adagio,əˈdɑʒiˌoʊ
Adam,ˈædəm
adamant,ˈædəmənt
adapt,əˈdæpt
adaptability,əˌdæptəˈbɪləti
adaptable,əˈdæptəbəl
adaptation,ˌædəpˈteɪʃən
adaptational,ˌædəpˈteɪʃən(ə)l
adaptationally,ˌædəpˈteɪʃən(ə)li
adaptedness,əˈdæptədnəs
adapter,əˈdæptər
adaptive,əˈdæptɪv
adaptively,əˈdæptɪvli
adaptiveness,əˈdæptɪvnəs
adaptor,əˈdæptər
Adar,əˈdɑr
aday,əˈdeɪ
adays,əˈdeɪz
add,æd
addability,ædəˈbɪlɪti
addable,ˈædəbl
added,ˈædəd
addedly,ˈædədli
addendum,əˈdɛdəm
adder,ˈædər
addibility,ædɪˈbɪlɪti
addict,ˈædɪkt
addicted,əˈdɪktəd
addictedness,əˈdɪktədnəs
addiction,əˈdɪkʃən
Addie,ˈædi
addiment,ˈædɪmənt
addition,əˈdɪʃən
additional,əˈdɪʃənəl
additionally,əˈdɪʃənəli
additionist,əˈdɪʃənɪst
additive,ˈædətɪv
additively,ˈædətɪvli
addle,ˈædəl
addlement,ˈædəlmənt
addleness,ˈædəlnəs
addlings,ˈædəlɪŋz
address,ˈæˌdrɛs
addressee,ˌædrɛˈsi
addresser,ˈæˌdrɛsər
addressful,ˈæˌdrɛsf(ə)l
addressor,ˈæˌdrɛsər
adduct,ˈædəkt
adductor,ˈædəktər
Addy,ˈædi
Ade,eɪd
ade,eɪd
Adela,əˈdɛlə
Adelaide,ˈædəˌleɪd
Adelbert,əˈdɛlbɜrt
Adeline,ˈædəˌlaɪn
adeling,əˈdɛlɪŋ
Adelphi,əˈdɛlfi
adenine,ˈædəˌnin
adenoid,ˈædəˌnɔɪd
adenoidism,ˈædəˌnɔɪdɪz(ə)m
adenosine,əˈdɛnəˌsin
adept,əˈdɛpt
adeptness,əˈdɛptnəs
adeptship,əˈdɛptʃɪp
adequacy,ˈædəkwəsi
adequate,ˈædəkwət
adequately,ˈædəkwətli
adequateness,ˈædəkwətnəs
adhere,ədˈhɪr
adherence,ədˈhɪrəns
adherent,ədˈhɪrənt
adherently,ədˈhɪrəntli
adherer,ədˈhɪrər
adhesion,ædˈhiʒən
adhesive,ædˈhisɪv
adhesively,ædˈhisɪvli
adhesiveness,ædˈhisɪvnəs
adieu,əˈdu
Adin,əˈdɪn
adipose,ˈædəˌpoʊs
adiposeness,ˈædəˌpoʊsnəs
Adirondack,ˌædəˈrɑndæk
adjacent,əˈʤeɪsənt
adjacently,əˈʤeɪsəntli
adjective,ˈæʤɪktɪv
adjectively,ˈæʤɪktɪvli
adjectivism,ˈæʤɪktɪvɪz(ə)m
adjoin,əˈʤɔɪn
adjoined,əˈʤɔɪnd
adjoinedly,əˈʤɔɪndli
adjoining,əˈʤɔɪnɪŋ
adjourn,əˈʤɜrn
adjournment,əˈʤɜrnmənt
adjudge,əˈʤʌʤ
adjudgeable,əˈʤʌʤəbl
adjudger,əˈʤʌʤər
adjudgment,əˈʤʌʤmənt
adjudicate,əˈʤudɪˌkeɪt
adjudication,əˌʤudəˈkeɪʃən
adjudicator,əˈʤudɪˌkeɪtər
adjunct,ˈæˌʤʌŋkt
adjunctly,ˈæˌʤʌŋktli
adjust,əˈʤʌst
adjustable,əˈʤʌstəbəl
adjustably,əˈʤʌstəbəli
adjuster,əˈʤʌstər
adjustment,əˈʤʌstmənt
adjutant,ˈæʤətənt
adjutantship,ˈæʤətəntʃɪp
Adlai,ɑˈdlɑi
adless,ˈædləs
adman,ˈædmən
administer,ədˈmɪnəstər
administrate,ædˈmɪnɪˌstreɪt
administration,ædˌmɪnɪˈstreɪʃən
administrational,ædˌmɪnɪˈstreɪʃən(ə)l
administrative,ədˈmɪnəˌstreɪtɪv
administratively,ædˌmɪnəˈstreɪtɪvli
administrator,ədˈmɪnəˌstreɪtər
administratorship,ədˈmɪnəˌstreɪtərʃɪp
admirability,ˌædmərəˈbɪlɪti
admirable,ˈædmərəbəl
admirableness,ˈædmərəbəlnəs
admirably,ˈædmərəbli
admiral,ˈædmərəl
admiralship,ˈædmərəlʃɪp
admiralty,ˈædmərəlti
admiration,ˌædməˈreɪʃən
admire,ædˈmaɪr
admired,ədˈmaɪɜrd
admiredly,ədˈmaɪɜrdli
admirer,ædˈmaɪrər
admiring,ædˈmaɪrɪŋ
admiringly,ædˈmaɪrɪŋli
admissibility,ədˌmɪsəˈbɪləti
admissible,ədˈmɪsəbəl
admissibleness,ədˈmɪsəbəlnəs
admissibly,ədˈmɪsəbəli
admission,ædˈmɪʃən
admit,ədˈmɪt
admittable,ədˈmɪtəbl
admittance,ədˈmɪtəns
admitted,ədˈmɪtəd
admittedly,ædˈmɪtɪdli
admitter,ədˈmɪtər
admonish,ædˈmɑnɪʃ
admonisher,ædˈmɑnɪʃər
admonishingly,ædˈmɑnɪʃɪŋli
admonishment,ædˈmɑnɪʃmɛnt
admonition,ˌædməˈnɪʃən
admonitioner,ˌædməˈnɪʃənər
admonitionist,ˌædməˈnɪʃənɪst
ado,əˈdu
adobe,əˈdoʊbi
adolescence,ˌædəˈlɛsəns
adolescent,ˌædəˈlɛsənt
adolescently,ˌædəˈlɛsəntli
Adolph,ˈeɪdɔlf
Adolphus,əˈdɔlfəs
Adonia,ɑˈdoʊniə
Adonis,əˈdɑnəs
adopt,əˈdɑpt
adoptability,əˌdɑptəˈbɪlɪti
adoptable,əˈdɑptəbəl
adopted,əˈdɑptəd
adoptedly,əˈdɑptədli
adoptee,əˈdɑpˈti
adopter,əˈdɑptər
adoption,əˈdɑpʃən
adoptional,əˈdɑpʃən(ə)l
adoptionism,əˈdɑpʃənɪz(ə)m
adoptionist,əˈdɑpʃənɪst
adoptive,əˈdɑptɪv
adoptively,əˈdɑptɪvli
adorability,əˌdɔrəˈbɪlɪti
adorable,əˈdɔrəbəl
adorableness,əˈdɔrəbəlnəs
adorably,əˈdɔrəbəli
adoration,ˌædəˈreɪʃən
adore,əˈdɔr
adorer,əˈdɔrər
adoringly,əˈdɔrɪŋli
adorn,əˈdɔrn
adorner,əˈdɔrnər
adorningly,əˈdɔrnɪŋli
adornment,əˈdɔrnmənt
adrenal,əˈdrinəl
Adrenalin,əˈdrɛnəlɪn
adrenaline,əˈdrɛnələn
Adrian,ˈeɪdriən
Adriana,ˌeɪdriˈænə
Adriatic,ˌeɪdriˈætɪk
Adrienne,ɑdriˈɛn
adrift,əˈdrɪft
adroit,əˈdrɔɪt
adroitly,əˈdrɔɪtli
adroitness,əˈdrɔɪtnəs
adulate,ˈæʤəˌleɪt
adulation,ˌæʤəˈleɪʃən
adulator,ˈæʤəˌleɪtər
adult,əˈdʌlt
adulter,əˈdʌltər
adulterate,əˈdʌltəˌreɪt
adulterately,əˈdʌltəˌreɪtli
adulterateness,əˈdʌltəˌreɪtnəs
adulteration,əˌdʌltəˈreɪʃən
adulterator,əˈdʌltəˌreɪtər
adulterer,əˈdʌltərər
adulterous,əˈdʌltərəs
adulterously,əˈdʌltərəsli
adultery,əˈdʌltəri
adulthood,əˈdʌltˌhʊd
adultness,əˈdʌltnəs
advance,ədˈvæns
advanceable,ədˈvænsəbl
advanced,ədˈvænst
advancedness,ədˈvænstnəs
advancement,ədˈvænsmənt
advancer,ədˈvænsər
advancing,ədˈvænsɪŋ
advancingly,ədˈvænsɪŋli
advantage,ædˈvæntɪʤ
advantageous,ˌædvənˈteɪʤəs
advantageously,ˌædvənˈteɪʤəsli
advantageousness,ˌædvənˈteɪʤəsnəs
advection,ædˈvɛkʃən
Advent,ˈædˌvɛnt
Adventism,ˈædˌvɛntɪz(ə)m
Adventist,ˈædˌvɛntɪst
adventure,ædˈvɛnʧər
adventureful,ædˈvɛnʧərf(ə)l
adventurement,ædˈvɛnʧərmənt
adventurer,ædˈvɛnʧərər
adventureship,ædˈvɛnʧərʃɪp
adventuresome,ædˈvɛnʧɜrsəm
adventuresomely,ædˈvɛnʧɜrsəmli
adventuresomeness,ædˈvɛnʧɜrsəmnəs
adventuress,ædˈvɛnʧɜrzɪz
adventurish,ædˈvɛnʧərɪʃ
adventurous,ædˈvɛnʧərəs
adventurously,ædˈvɛnʧərəsli
adventurousness,ædˈvɛnʧərəsnəs
adverb,ˈædvɜrb
adverbial,ædˈvɜrbiəl
adverbially,ædˈvɜrbiəli
adversary,ˈædvərˌsɛri
adverse,ædˈvɜrs
adversely,ædˈvɜrsli
adverseness,ædˈvɜrsnəs
adversity,ædˈvɜrsɪti
advertisable,ˈædvərˌtaɪzəbl
advertise,ˈædvərˌtaɪz
advertisement,ədˈvɜrtəzmənt
advertiser,ˈædvərˌtaɪzər
advertising,ˈædvərˌtaɪzɪŋ
advice,ædˈvaɪs
adviceful,ædˈvaɪsf(ə)l
advisability,ˌædˌvaɪzəˈbɪlɪti
advisable,ədˈvaɪzəbəl
advisableness,ədˈvaɪzəbəlnəs
advisably,ədˈvaɪzəbəli
advise,ædˈvaɪz
advised,ædˈvaɪzd
advisedly,ædˈvaɪzədli
advisedness,ædˈvaɪzdnəs
advisement,ədˈvaɪzmənt
adviser,ædˈvaɪzər
advisership,ædˈvaɪzərʃɪp
advisor,ædˈvaɪzər
advisorily,ædˈvaɪzərɪli
advisory,ædˈvaɪzəri
advocacy,ˈædvəkəsi
advocate,ˈædvəkət
advocateship,ˈædvəkətʃɪp
advocatess,ˈædvəkətsɪz
advocation,ˌædvəˈkeɪʃən
advocator,ˈædvəˌkeɪtər
ady,ˈeɪdi
adz,ædz
adzer,ˈædzər
ae,eɪ
Aegean,ɪˈʤiən
aegis,ˈiʤəs
aer,ɛr
aerial,ˈɛriəl
aerialist,ˈɛriəlɪst
aerially,ˈɛriəli
aerialness,ˈɛriəlnəs
aerie,ˈɛri
aeried,ˈɛrid
aero,ˈɛroʊ
aerobatic,ˌɛrəˈbætɪk
aerobatics,ˌɛrəˈbætɪks
aerobic,ɛˈroʊbɪk
aerobically,ɛˈroʊbɪkli
